"number";"situation";"shots";"goals";"kp";"assists";"xG";"xA";"xG90";"xA90";"xGperSh";"xAperKP"
1;"Open play";57;3;77;9;6.04;10.42;0.19;0.33;0.11;0.14
2;"Penalty";6;4;0;0;4.57;0;0.15;0;0.76;0
3;"Direct Freekick";5;1;0;0;0.44;0;0.01;0;0.09;0
4;"From corner";5;0;30;6;0.16;3.33;0.01;0.11;0.03;0.11
5;"Set piece";4;0;14;4;0.18;2.04;0.01;0.07;0.04;0.15
