"number";"position";"apps";"min";"goals";"assists";"sp90m";"kp90";"xG";"xA";"xG90";"xA90"
1;"MC";17;1489;5;7;2.78;3.14;7.74;5.28;0.47;0.32
2;"AMC";15;1323;3;12;2.11;4.69;3.65;10.52;0.25;0.72
