"number";"shotTypes";"shots";"goals";"kp";"assists";"xG";"xA";"xGperSh";"xAperKP"
1;"Right foot";66;8;49;7;10;5.78;0.15;0.12
2;"Left foot";9;0;35;3;1.07;4.12;0.12;0.12
3;"Head";2;0;37;9;0.32;5.9;0.16;0.16
